Reference sample,Sample,Common name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ilEulTest2,ilEulTest2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis testata
ilEupAbbr2,ilEupAbbr2,Brindled pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia abbreviata
ilEupCent1,ilEupCent1,Lime-speck pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia centaureata
ilEupDodo1,ilEupDodo1,Oak tree pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia dodoneata
ilEupExig1,ilEupExig1,Mottled pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia exiguata
ilEupInsi1,ilEupInsi1,Pinion-spotted pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia insigniata
ilEupLuci1,ilEupLuci1,Small angle shades,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Euplexia,Euplexia lucipara
ilEupSimi1,ilEupSimi1,Yellow-tail,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Euproctis,Euproctis similis
ilEupTran1,ilEupTran1,The satellite,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eupsilia,Eupsilia transversa
ilEupVulg1,ilEupVulg1,Common pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia vulgata
ilEuzPing2,ilEuzPing2,Ash-bark knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Euzophera,Euzophera pinguis
ilFabAdip1,ilFabAdip1,High brown fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana,Fabriciana adippe
ilFisYpsi1,ilFisYpsi1,Dingy shears,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Fissipunctia,Fissipunctia ypsillon
ilFurFurc1,ilFurFurc1,Sallow kitten,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Furcula,Furcula furcula
ilGanPyra1,ilGanPyra1,Barred straw,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Gandaritis,Gandaritis pyraliata
ilGlaAlex1,ilGlaAlex1,Green-underside blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,Glaucopsyche alexis
ilGriApri1,ilGriApri1,Merveille du jour,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Griposia,Griposia aprilina
ilGymRufi1,ilGymRufi1,Double-striped pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,Gymnoscelis rufifasciata
ilHabPyri1,ilHabPyri1,Buff arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides
ilHecDyso1,ilHecDyso1,Small ranunculus,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea
ilHedSali1,ilHedSali1,White-backed marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Hedya,Hedya salicella
ilHemAest2,ilHemAest2,Common emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemithea,Hemithea aestivaria
ilHemChry1,ilHemChry1,Small emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemistola,Hemistola chrysoprasaria
ilHerTari1,ilHerTari1,The fan foot,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Herminia,Herminia tarsipennalis
ilHesComm1,ilHesComm1,Common branded skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hesperia,Hesperia comma
ilHipSeme1,ilHipSeme1,Rock grayling,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hipparchia,Hipparchia semele
ilHofPseu3,ilHofPseu3,Brown house moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella
ilHydFurc1,ilHydFurc1,July highflyer,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hydriomena,Hydriomena furcata
ilHydMica1,ilHydMica1,Rosy rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea
ilHylFasc1,ilHylFasc1,Barred red,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hylaea,Hylaea fasciaria
ilHypCost1,ilHypCost1,Gold triangle,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia costalis
ilHypProb1,ilHypProb1,The snout,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis
ilIdaAver1,ilIdaAver1,Riband wave,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea aversata
ilIncMasc1,ilIncMasc1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Incurvariidae,Incurvaria,Incurvaria masculella
ilLacWlai2,ilLacWlai2,Light brocade,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lacanobia,Lacanobia wlatinum
ilLamSuff1,ilLamSuff1,Water carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lampropteryx,Lampropteryx suffumata
ilLaoPopu1,ilLaoPopu1,Poplar hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Laothoe,Laothoe populi
ilLasFlex1,ilLasFlex1,Beautiful hook-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Laspeyria,Laspeyria flexula
ilLasMege1,ilLasMege1,Wall brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,Lasiommata megera
ilLatStri6,ilLatStri6,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Lathronympha,Lathronympha strigana
ilLepSina1,ilLepSina1,Wood white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Leptidea,Leptidea sinapis
ilLeuSali1,ilLeuSali1,White satin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Leucoma,Leucoma salicis
ilLigAdus1,ilLigAdus1,Scorched carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ligdia,Ligdia adustata
ilLimCami1,ilLimCami1,White admiral,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis camilla
ilLitOrni1,ilLitOrni1,Grey shoulder-knot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane ornitopus
ilLitSemi2,ilLitSemi2,Tawny pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane semibrunnea
ilLitSoci1,ilLitSoci1,Pale pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane socia
ilLobHalt1,ilLobHalt1,The seraphim,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora,Lobophora halterata
ilLomBima1,ilLomBima1,White-pinioned spotted,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,Lomographa bimaculata
ilLupTest1,ilLupTest1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Luperina,Luperina testacea
ilLycHirt1,ilLycHirt1,Brindled beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia,Lycia hirtaria
ilLycPhla1,ilLycPhla1,Small copper,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena phlaeas
ilLymMona1,ilLymMona1,Black arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria monacha
ilLysBell1,ilLysBell1,Adonis blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lysandra,Lysandra bellargus
ilLysCori1,ilLysCori1,Chalkhill blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lysandra,Lysandra coridon
ilMacNota1,ilMacNota1,Peacock moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria notata
ilMamBras1,ilMamBras1,Cabbage moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra,Mamestra brassicae
ilManJurt1,ilManJurt4,Meadow brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina
ilManJurt1,ilManJurt1,Meadow brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina
ilMarLuna1,ilMarLuna1,Crescent plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Marasmarcha,Marasmarcha lunaedactyla
ilMegAlbu1,ilMegAlbu1,Kent black arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Meganola,Meganola albula
ilMelAtha1,ilMelAtha1,Heath fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Mellicta athalia
ilMelCinx1,ilMelCinx1,Glanville fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea cinxia
ilMelGala2,ilMelGala2,Marbled white,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea
ilMelPers1,ilMelPers1,Dot moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Melanchra persicariae
ilMesFuru1,ilMesFuru1,Cloaked minor,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mesoligia,Mesoligia furuncula
ilMicArun2,ilMicArun2,White-barred gold,Metazoa,Arthropoda,Insecta,Lepidoptera,Micropterigidae,Micropterix,Micropterix aruncella
ilMilMini2,ilMilMini2,Rosy footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata
ilMimTili1,ilMimTili1,Lime hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Mimas,Mimas tiliae
ilMonLaev2,ilMonLaev1,Skin moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Monopis,Monopis laevigella
ilMonLaev2,ilMonLaev2,Skin moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Monopis,Monopis laevigella
ilMusNiti1,ilMusNiti1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Musotima,Musotima nitidalis
ilMytAlbi1,ilMytAlbi1,White-point,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna albipuncta
ilMytFerr1,ilMytFerr1,The clay,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna ferrago
ilMytImpu1,ilMytImpu1,Smoky wainscot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna impura
ilNemSwae1,ilNemSwae1,Large long-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Adelidae,Nematopogon,Nematopogon swammerdamellus
ilNocFimb1,ilNocFimb1,Broad-bordered yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua fimbriata
ilNocJant1,ilNocJant1,Tesser broad-boardered yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua janthe
ilNocPron1,ilNocPron1,Large yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba
ilNotDrom1,ilNotDrom1,Iron prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,Notodonta dromedarius
ilNotUddm1,ilNotUddm1,Bramble shoot,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Notocelia,Notocelia uddmanniana
ilNotZicz1,ilNotZicz1,Pebble prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,Notodonta ziczac
ilNycReva1,ilNycReva1,Oak nycteoline,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Nycteola,Nycteola revayana
ilNymNiti1,ilNymNiti1,Beautiful china-mark,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Nymphula,Nymphula nitidulata
ilNymPoly1,ilNymPoly1,Large tortoiseshell,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,Nymphalis polychloros
ilOchPlec1,ilOchPlec1,Flame shoulder,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ochropleura,Ochropleura plecta
ilOchSylv3,ilOchSylv3,Large skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes,Ochlodes sylvanus
ilOliLatr1,ilOliLatr1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Oligia,Oligia latruncula
ilOmpLuno1,ilOmpLuno1,Lunar underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Omphaloscelis,Omphaloscelis lunosa
ilOpeBrum1,ilOpeBrum1,Winter moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,Operophtera brumata
ilOpiLute1,ilOpiLute1,Brimstone moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Opisthograptis,Opisthograptis luteolata
ilOrgAnti1,ilOrgAnti2,Rusty tussock moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Orgyia,Orgyia antiqua
ilOrgAnti1,ilOrgAnti1,Rusty tussock moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Orgyia,Orgyia antiqua
ilOrtGrac1,ilOrtGrac1,Powdered quaker,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia gracilis
ilOrtInce1,ilOrtInce1,Clouded drab,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia incerta
ilPamAuri1,ilPamAuri1,Sycamore piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pammene,Pammene aurita
ilPamFasc1,ilPamFasc1,Acorn piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pammene,Pammene fasciana
ilPanCinn1,ilPanCinn1,White-faced tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pandemis,Pandemis cinnamomeana
ilPapMach1,ilPapMach1,Common yellow swallowtail,Metazoa,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon
ilParAegt1,ilParAegt1,Speckled wood,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria
ilParStra1,ilParStra1,Ringed china-mark,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Parapoynx,Parapoynx stratiotata
ilPerRhom1,ilPerRhom1,Willow beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Peribatodes,Peribatodes rhomboidaria
ilPhaBuce1,ilPhaBuce1,Buff-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Phalera,Phalera bucephala
ilPheGnom1,ilPheGnom1,Lesser swallow prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia gnoma
ilPheTrem1,ilPheTrem1,Swallow prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia tremula
ilPhiVetu1,ilPhiVetu1,Brown scallop,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Philereme,Philereme vetulata
ilPhlMeti2,ilPhlMeti2,Angle shades,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phlogophora,Phlogophora meticulosa
ilPhrFuli1,ilPhrFuli1,Ruby tiger,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa
ilPieBrab1,ilPieBrab1,Large white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae
ilPieNapi4,ilPieNapi1,Green-veined white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi
ilPieNapi4,ilPieNapi4,Green-veined white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi
ilPieRapa1,ilPieRapa1,Small white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae
ilPleArgu1,ilPleArgu1,Silver-studded blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,Plebejus argus
ilPluXylo3,ilPluXylo3,Diamondback moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,Plutella xylostella
ilPolIcar1,ilPolIcar1,Common blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus icarus
ilPolLich1,ilPolLich1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Polymixis,Polymixis lichenea
ilProPyga1,ilProPyga1,Marbled white spot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Protodeltote,Protodeltote pygarga
ilPtiCapc1,ilPtiCapc1,Coxcomb prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Ptilodon,Ptilodon capucinus
ilPyrFari1,ilPyrFari1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis
ilPyrMalv3,ilPyrMalv3,Grizzled skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus malvae
ilSatPavo1,ilSatPavo1,Emperor moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,Saturnia pavonia
ilSchCost1,ilSchCost1,Pinion-streaked snout,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Schrankia,Schrankia costaestrigalis
ilSelDent1,ilSelDent1,Early thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Selenia,Selenia dentaria
ilSesApif2,ilSesApif2,Hornet moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Sesia,Sesia apiformis
ilSesBemb1,ilSesBemb1,Lunar hornet clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Sesia,Sesia bembeciformis
ilShaVerb5,ilShaVerb5,Mullein moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cucullia,Shargacucullia verbasci
ilSphPina1,ilSphPina1,Pine hawkmoth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,Sphinx pinastri
ilSpiLubr1,ilSpiLubr1,White ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda
ilSpiLutu1,ilSpiLutu1,Buff ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilarctia,Spilarctia lutea
ilSteBipu1,ilSteBipu1,Twin-spot plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia bipunctidactyla
ilSynAndr1,ilSynAndr1,Orange-tailed clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon andrenaeformis
ilSynForm1,ilSynForm1,Red-tipped clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon formicaeformis
ilSynMyop1,ilSynMyop1,Red-belted clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon myopaeformis
ilSynTipu2,ilSynTipu2,Currant clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon tipuliformis
ilSynVesp1,ilSynVesp1,Yellow-legged clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon vespiformis
ilTelLucu1,ilTelLucu1,Crescent groundling,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Teleiodes,Teleiodes luculella
ilThaMatu1,ilThaMatu1,Straw underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Thalpophila,Thalpophila matura
ilTheBrit1,ilTheBrit1,Spruce carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera britannica
ilTheObel3,ilTheObel3,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera obeliscata
ilThoDeci1,ilThoDeci1,Feathered gothic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tholera,Tholera decimalis
ilThuSene1,ilThuSene1,Round-winged muslin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Thumatha,Thumatha senex
ilThyBati1,ilThyBati1,Peach blossom,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Thyatira batis
ilThySylv1,ilThySylv1,Small skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus sylvestris
ilTilAura1,ilTilAura1,Barred sallow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tiliacea,Tiliacea aurago
ilTinPell1,ilTinPell1,Casemaking clothes moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea pellionella
ilTinSemi1,ilTinSemi1,Fulvous clothes moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea semifulvella
ilTinTrin1,ilTinTrin1,Bird's-nest moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea trinotella
ilTorAlte1,ilTorAlte1,Winter shade,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Tortricodes,Tortricodes alternella
ilTriEmor1,ilTriEmor1,Olive crescent,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Trisateles,Trisateles emortualis
ilTyrJaco4,ilTyrJaco4,Cinnabar moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae
ilUdeOliv2,ilUdeOliv2,Olive pearl,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea olivalis
ilVanAtal1,ilVanAtal1,Red admiral,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta
ilVanCard2,ilVanCard2,Painted lady,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
ilWatBina1,ilWatBina1,Oak hook-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria
ilXanIcte2,ilXanIcte2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xanthia,Xanthia icteritia
ilXanSpad1,ilXanSpad1,Red twin-spot carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Xanthorhoe,Xanthorhoe spadicearia
ilXesCnig1,ilXesCnig1,Setaceous hebrew character,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia c-nigrum
ilXesSexs1,ilXesSexs1,Six-striped rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia sexstrigata
ilXesXant1,ilXesXant1,Square-spot rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia xanthographa
ilXylAreo1,ilXylAreo1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xylocampa,Xylocampa areola
ilYpoCagn1,ilYpoCagn5,Spindle ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoCagn1,ilYpoCagn1,Spindle ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoPade2,ilYpoPade1,Spindle ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoPade2,ilYpoPade2,Spindle ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoPlub1,ilYpoPlub1,Black-tipped ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta plumbellus
ilYpoRore1,ilYpoRore1,Apple ermine moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta malinellus
ilYpoSedl1,ilYpoSedl1,Grey ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta sedellus
ilYpsScab1,ilYpsScab1,Wainscot smudge,Metazoa,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha scabrella
ilYpsSequ2,ilYpsSequ2,Pied smudge,Metazoa,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha sequella
ilZeuPyri1,ilZeuPyri1,Leopard moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Cossidae,Zeuzera,Zeuzera pyrina
ilZygFili1,ilZygFili1,6-spot burnet,Metazoa,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae
inChrCarn1,inChrCarn1,Common green lacewing,Metazoa,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,Chrysoperla carnea
ioIscEleg1,ioIscEleg1,.,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans
ioPlaPenn1,ioPlaPenn1,.,Metazoa,Arthropoda,Insecta,Odonata,Platycnemididae,Platycnemis,Platycnemis pennipes
ioSymStri1,ioSymStri1,Common darter,Metazoa,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum striolatum
ipIsoGram3,ipIsoGram3,Common yellow sally,Metazoa,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla grammatica
ipLeuNigr2,ipLeuNigr2,.,Metazoa,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra nigra
ipNemDubi1,ipNemDubi1,.,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,Nemoura dubitans
ipNemPict2,ipNemPict2,.,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemurella,Nemurella pictetii
ipProMont4,ipProMont4,.,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemura,Protonemura montana
iyAllPice1,iyAllPice1,.,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Alloplasta,Alloplasta piceator
iyAmbArma2,iyAmbArma2,.,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Amblyteles,Amblyteles armatorius
iyAncNigr1,iyAncNigr1,Early mason-wasp,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Ancistrocerus,Ancistrocerus nigricornis
iyAndBuce1,iyAndBuce1,Big-headed mining bee,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena bucephala
iyAndDors1,iyAndDors1,Short-fringed mining bee,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena dorsata
iyAndFulv1,iyAndFulv1,Tawny mining bee,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fulva
iyAndHaem1,iyAndHaem1,Red-tailed mining bee,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena haemorrhoa
