 ,statussummary,status,asm,jira,sample,accession,species,coi,organelle,uli,sts_priority,common name,sex,genomic sex,ploidy,taxon,genus,family,family_taxon,order,phylum,BioSample,BioProject,darwin,vgp_orders,vgp_plus,asg,erga-pilot,erga-bge,tol,25g,psyche,bat1k,aegis,nematodes,britain&ireland,dnazoo,cichlids,BADASS,filr,rodents,jiggins,meier,jaron,murchison,millport,cetacean,R&D,protist-microalgae,UKbutterflies,sts size (Mb),est. size (Mb),htzgy (%),rep frac (%),long read cov (gscope),long read cov (sts),10XG cov (gscope),10XG cov (sts),last_data,sts pacbio status (new),sts hic status (new),hic_from,PacBio,ONT,10XG,Htag,BioNano,HiC,RNAseq,IsoSeq,raw data sub,submission todo,runs,contig N50 (Mb),contig count,scaffold N50 (Mb),"scaffold	count",longest (Mb),length (Mb),BUSCO,QV,completeness,pipeline status,doi,notes,"Calculated, for Family_TXID_Pivot"
,1 submitted,12_public,sm15,GRIT-122,fDanKya3,GCA_903798195.1,Danio kyathit,,,,,orange-finned danio,F,,,242068,Danio,Cyprinidae,2743709,Cypriniformes,Chordata,SAMEA104130240,PRJEB38581,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600",2.0,45,33,,36,,2018-11-08,UNKNOWN,UNKNOWN,fDanKya3,●,,●,,●,●,,,2,hic submitted under default biosample,,1.26,"3,261",64.23,739,89.47,"1,708","C:93.3%[S:89.3%,D:4.0%],F:2.5%,M:4.2%,n:4584",,,Submitted,,,"Cyprinidae,2743709"
,1 submitted,12_public,sm15,GRIT-49,fDenClu1,GCA_900700375.2,Denticeps clupeoides,,3,,,denticle herring,,,,299321,Denticeps,Denticipitidae,299319,Clupeiformes,Chordata,SAMEA104129917,PRJEB31550,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.5,20,47,,89,,2017-10-23,UNKNOWN,UNKNOWN,fDenClu1,●,,●,,●,●,●,,3,done,,3.06,924,22.79,460,42.17,567,"C:94.5%[S:87.2%,D:7.3%],F:2.8%,M:2.7%,n:4584",,,Annotated (e98),,,"Denticipitidae,299319"
,1 submitted,12_public,sm15,GRIT-47,fDreABH1,GCA_903684865.1,Danio rerio,,,,,zebrafish,M,,,7955,Danio,Cyprinidae,2743709,Cypriniformes,Chordata,SAMEA4760846,PRJEB38590,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500",1.1,37,32,,,,2019-04-04,UNKNOWN,UNKNOWN,,●,,●,,●,●,,,1,external data; submit?,,4.53,"1,964",52.96,"1,252",74.43,"1,354","C:92.8%[S:89.2%,D:3.6%],F:2.0%,M:5.2%,n:4584",,,Submitted,,AB/paternal,"Cyprinidae,2743709"
,1 submitted,12_public,sm15,GRIT-46,fDreTuH1,GCA_903684855.2,Danio rerio,,3,,,zebrafish,F,,,7955,Danio,Cyprinidae,2743709,Cypriniformes,Chordata,SAMEA4760849,PRJEB38590,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500",1.1,37,33,,,,2019-04-04,UNKNOWN,UNKNOWN,,●,,●,,●,●,,,1,external data; submit?,,3.59,"2,106",54.39,754,73.59,"1,360","C:93.4%[S:90.0%,D:3.4%],F:2.2%,M:4.4%,n:4584",,,Submitted,,Tübingen/maternal,"Cyprinidae,2743709"
,1 submitted,12_public,sm15,GRIT-83,fEcheNa1,GCA_900963305.2,Echeneis naucrates,,3,,,live sharksucker,,,,173247,Echeneis,Echeneidae,173245,Carangiformes,Chordata,SAMEA4966390,PRJEB31994,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,546,0.4,13,65,,102,,2018-11-08,UNKNOWN,UNKNOWN,fEcheNa1,●,●,●,,●,●,●,,2,hic submitted under default biosample; ont,,12.37,212,22.40,63,46.39,558,"C:97.3%[S:94.9%,D:2.4%],F:1.3%,M:1.4%,n:4584",,,Submitted,,,"Echeneidae,173245"
,1 submitted,12_public,sm15,GRIT-377,fErpCal1,GCA_900747795.4,Erpetoichthys calabaricus,,3,,,reedfish,U,,,27687,Erpetoichthys,Polypteridae,8289,Polypteriformes,Chordata,SAMEA104026374,PRJEB31587,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,823",0.5,35,58,,31,,2018-04-30,UNKNOWN,UNKNOWN,fErpCal1,●,,●,,●,●,●,,3,hic submitted under default biosample,,6.76,"1,658",163.26,385,343.28,"3,654","C:82.7%[S:80.1%,D:2.6%],F:6.4%,M:10.9%,n:4584",43.2,,falcon-unzip+purge+scff10x+bionano+salsa+arrow+merfin+freebayes2,,,"Polypteridae,8289"
,1 submitted,11_published,sm15,GRIT-115,fGadMor1,GCA_902167405.1,Gadus morhua,,,,,Atlantic cod,,,,8049,Gadus,Gadidae,8045,Gadiformes,Chordata,SAMEA5574046,PRJEB33456,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,834,0.7,44,60,,59,,2019-04-26,UNKNOWN,UNKNOWN,fGadMor1,●,,●,,●,●,,,1,track external pacbio; track external hic,,1.02,"1,442",28.73,226,43.80,670,"C:93.6%[S:90.8%,D:2.8%],F:2.8%,M:3.6%,n:4584",,,Submitted,10.12688/wellcomeopenres.21122.1,,"Gadidae,8045"
,1 submitted,11_published,sm15,GRIT-67,fGouWil2,GCA_900634775.2,Gouania willdenowi,,3,,,blunt-snouted clingfish,,,,441366,Gouania,Gobiesocidae,63826,Gobiesociformes,Chordata,SAMEA104026382,PRJEB30363,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",0.7,46,43,,52,,2017-03-16,UNKNOWN,UNKNOWN,fGouWil2,●,,●,,●,●,●,,3,done,,1.84,"1,601",38.98,441,72.45,937,"C:94.6%[S:91.6%,D:3.0%],F:2.5%,M:2.9%,n:4584",,,Annotated (e98),10.1038/s41586-021-03451-0,,"Gobiesocidae,63826"
,1 submitted,12_public,sm15,GRIT-58,fGymAcu1,GCA_902827175.1,Gymnodraco acuticeps,,,,,ploughfish,,,,8218,Gymnodraco,Bathydraconidae,8214,Perciformes,Chordata,SAMEA104242997,PRJEB37640,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100",0.6,45,31,,41,,2019-02-05,UNKNOWN,UNKNOWN,,●,,●,,,,●,,2,some rna submitted under default biosample,,0.50,"4,763",1.90,"2,847",13.22,"1,078","C:93.1%[S:85.5%,D:7.6%],F:2.6%,M:4.3%,n:4584",,,Submitted,,,"Bathydraconidae,8214"
,1 submitted,12_public,sm15,GRIT-52,fHarAnt1,GCA_902827135.1,Harpagifer antarcticus,,,,,Antarctic spiny plunderfish,,,,43256,Harpagifer,Harpagiferidae,43254,Perciformes,Chordata,SAMEA104132831,PRJEB37646,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100",0.5,44,37,,40,,,COMPLETE,COMPLETE,fHarAnt1,●,,●,,●,,●,,2,some rna submitted under default biosample,,0.92,"3,237",4.49,"2,049",26.94,"1,049","C:92.9%[S:86.6%,D:6.3%],F:2.0%,M:5.1%,n:4584",,,Submitted,,,"Harpagiferidae,43254"
,1 submitted,11_published,sm15,GRIT-41,fMasArm1,GCA_900324485.3,Mastacembelus armatus,,3,,,zig-zag eel,,,,205130,Mastacembelus,Mastacembelidae,94233,Synbranchiformes,Chordata,SAMEA104026378,PRJEB31554,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,700,0.1,27,31,,145,,2017-03-16,UNKNOWN,UNKNOWN,fMasArm1,●,,●,,●,●,●,,3,done,,7.79,360,25.09,122,29.12,592,"C:97.2%[S:94.8%,D:2.4%],F:1.2%,M:1.6%,n:4584",,,Annotated (e94),10.1038/s41586-021-03451-0,,"Mastacembelidae,94233"
,1 submitted,12_public,sm15,GRIT-117,fMyrMur1,GCA_902150065.1,Myripristis murdjan,,,,,pinecone soldierfish,,,,586833,Myripristis,Holocentridae,47697,Holocentriformes,Chordata,SAMEA4872133,PRJEB33189,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1.1,24,49,,65,,2018-11-09,UNKNOWN,UNKNOWN,fMyrMur1,●,,●,,●,●,●,,2,hic submitted under default biosample,,14.48,340,34.95,87,47.12,835,"C:96.9%[S:93.5%,D:3.4%],F:1.4%,M:1.7%,n:4584",,,Submitted,,,"Holocentridae,47697"
,1 submitted,12_public,sm15,GRIT-134,fNeoBic2,GCA_902685375.1,Neostethus bicornis,,,,,,,,,300306,Neostethus,Phallostethidae,270656,Atheriniformes,Chordata,SAMEA104240207,PRJEB35384,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,702,0.4,20,114,,44,,2019-06-26,UNKNOWN,UNKNOWN,,●,,●,,,,,,3,done,,23.09,213,29.12,107,41.50,778,"C:94.2%[S:91.1%,D:3.1%],F:2.8%,M:3.0%,n:4584",,,Submitted,,,"Phallostethidae,270656"
,1 submitted,12_public,sm15,GRIT-93,fParRan2,GCA_900634625.2,Parambassis ranga,,3,,,Indian glassy fish,,,,210632,Parambassis,Ambassidae,205120,Ovalentaria,Chordata,SAMEA4675621,PRJEB30286,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.4,25,59,,95,,2018-08-30,UNKNOWN,UNKNOWN,fParRan2,●,,●,,●,●,●,,3,done,,5.08,579,22.99,156,46.70,551,"C:97.1%[S:94.1%,D:3.0%],F:1.5%,M:1.4%,n:4584",,,Annotated (e98),,,"Ambassidae,205120"
,1 submitted,12_public,sm15,GRIT-113,fPseGeo1,GCA_902827115.2,Pseudochaenichthys georgianus,,,,,South Georgia icefish,,,,52239,Pseudochaenichthys,Channichthyidae,30806,Perciformes,Chordata,SAMEA104132832,PRJEB37649,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100",0.3,47,26,,56,,2019-04-04,UNKNOWN,UNKNOWN,fPseGeo1,●,,●,,,●,●,,2,some rna and hic submitted under default biosample,,0.66,"4,616",41.56,"2,024",54.62,"1,069","C:93.9%[S:90.7%,D:3.2%],F:2.3%,M:3.8%,n:4584",,,Submitted,,,"Channichthyidae,30806"
,1 submitted,12_public,sm15,GRIT-98,fSalaFa1,GCA_902148845.1,Salarias fasciatus,,,,,jewelled blenny,,,,181472,Salarias,Blenniidae,56718,Blenniiformes,Chordata,SAMEA4966329,PRJEB33185,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1.3,23,67,,61,,2019-04-04,UNKNOWN,UNKNOWN,fSalaFa1,●,,●,,●,●,●,,3,done,,2.60,804,32.73,202,41.71,797,"C:96.2%[S:92.3%,D:3.9%],F:1.8%,M:2.0%,n:4584",,,Submitted,,,"Blenniidae,56718"
,1 submitted,12_public,sm15,GRIT-44,fSclFor1,GCA_900964775.1,Scleropages formosus,,,,,golden arowana,,,,113540,Scleropages,Osteoglossidae,27723,Osteoglossiformes,Chordata,SAMEA4872123,PRJEB31997,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.3,16,61,,69,,2018-11-09,UNKNOWN,UNKNOWN,fSclFor1,●,●,●,,●,●,,,2,hic submitted under default biosample; ont,,9.13,216,22.56,123,50.07,785,"C:95.6%[S:83.4%,D:12.2%],F:2.1%,M:2.3%,n:4584",,,Annotated (e99),,,"Osteoglossidae,27723"
,1 submitted,12_public,sm15,GRIT-110,fSimDia1,GCA_900408965.1,Simochromis diagramma,,,,,,,,,43689,Simochromis,Cichlidae,8113,Cichliformes,Chordata,SAMEA104026415,PRJEB26682,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,900,0.5,28,,,,,2017-03-16,UNKNOWN,UNKNOWN,,●,,●,,,,●,,3,done,,2.20,"1,765",8.96,823,26.73,849,"C:96.9%[S:94.3%,D:2.6%],F:1.5%,M:1.6%,n:4584",,,Submitted,,,"Cichlidae,8113"
,1 submitted,12_public,sm15,GRIT-43,fSpaAur1,GCA_900880675.2,Sparus aurata,,3,,,gilthead seabream,M,,,8175,Sparus,Sparidae,8169,Spariformes,Chordata,SAMEA104384835,PRJEB31904,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0.6,32,37,,56,,2017-08-24,UNKNOWN,UNKNOWN,fSpaAur1,●,,●,,,●,,,3,done,,2.86,"1,225",35.79,175,41.39,834,"C:97.3%[S:94.9%,D:2.4%],F:1.4%,M:1.3%,n:4584",,,Submitted,,,"Sparidae,8169"
,1 submitted,12_public,sm15,GRIT-97,fSphaOr1,GCA_902148855.1,Sphaeramia orbicularis,,,,,orbiculate cardinalfish,,,,375764,Sphaeramia,Apogonidae,83881,Kurtiformes,Chordata,SAMEA4966328,PRJEB33178,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,124",0.3,34,47,,40,,2018-11-09,UNKNOWN,UNKNOWN,fSphaOr1,●,,●,,●,●,●,,2,hic submitted under default biosample,,2.36,"2,184",57.17,340,81.20,"1,343","C:95.1%[S:90.6%,D:4.5%],F:1.9%,M:3.0%,n:4584",,,Submitted,,,"Apogonidae,83881"
,1 submitted,11_published,sm15,GRIT-99,fSynAcu1,GCA_901709675.2,Syngnathus acus,,3,,,greater pipefish,,,,161584,Syngnathus,Syngnathidae,72045,Syngnathiformes,Chordata,SAMEA104381750,PRJEB32743,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,300,0.2,14,72,,201,,2019-04-04,UNKNOWN,COMPLETE,fSynAcu1,●,,●,,,●,,,3,done,,11.96,130,14.97,87,28.44,324,"C:93.8%[S:90.6%,D:3.2%],F:3.1%,M:3.1%,n:4584",,,Need RNA-seq for annotation,10.12688/wellcomeopenres.19528.1,,"Syngnathidae,72045"
,1 submitted,12_public,sm15,GRIT-35,fTakRub1,GCA_901000725.3,Takifugu rubripes,,3,,,torafugu,M,,,31033,Takifugu,Tetraodontidae,31031,Tetraodontiformes,Chordata,SAMEA104384834,PRJEB31991,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0.4,20,65,,113,,2018-04-12,UNKNOWN,UNKNOWN,fTakRub1,●,,●,,●,●,,,3,done,,3.14,532,16.71,128,29.23,385,"C:96.7%[S:93.5%,D:3.2%],F:1.6%,M:1.7%,n:4584",,,Submitted,,,"Tetraodontidae,31031"
,1 submitted,12_public,sm15,GRIT-119,fThaAma1,GCA_902500255.1,Thalassophryne amazonica,,,,,prehistoric monster fish,,,,390379,Thalassophryne,Batrachoididae,8065,Batrachoidiformes,Chordata,SAMEA104129913,PRJEB34607,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100",0.2,46,39,,48,,2018-11-09,UNKNOWN,UNKNOWN,fThaAma1,●,,●,,●,●,●,,2,hic and rnaseq submitted under default biosample,,2.33,"3,014",56.24,648,111.09,"2,451","C:90.7%[S:87.4%,D:3.3%],F:4.1%,M:5.2%,n:4584",,,Submitted,,,"Batrachoididae,8065"
,1 submitted,12_public,sm15,GRIT-33,fTreBer1,GCA_902827165.1,Trematomus bernacchii,,,,,emerald rockcod,,,,40690,Trematomus,Nototheniidae,8206,Perciformes,Chordata,SAMEA104132834,PRJEB37643,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",0.5,40,42,,53,,2017-08-24,UNKNOWN,UNKNOWN,,●,●,●,,,,●,,2,some rna submitted under default biosample; ont,,1.23,"2,292",3.75,"1,323",20.48,962,"C:96.1%[S:91.2%,D:4.9%],F:1.6%,M:2.3%,n:4584",,,Submitted,,,"Nototheniidae,8206"
,1 submitted,11_published,sm15,GRIT-103,iArcPla1.pat,GCA_902825445.1,Arctia plantaginis,,,,,wood tiger moth,,,,874455,Arctia,Erebidae,695564,Lepidoptera,Arthropoda,SAMEA6520865,PRJEB36595,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,590,1.9,27,26,,70,,,UNKNOWN,UNKNOWN,,●,,●,,,,,,1,external illumina for parents,,2.19,"1,385",6.73,"1,069",21.51,585,"C:98.1%[S:96.9%,D:1.2%],F:0.5%,M:1.4%,n:1658",,,Submitted,10.1093/gigascience/giaa088,WW/paternal,"Erebidae,695564"
,1 submitted,11_published,sm15,GRIT-104,iArcPla1.mat,GCA_902825455.1,Arctia plantaginis,,,,,wood tiger moth,,,,874455,Arctia,Erebidae,695564,Lepidoptera,Arthropoda,SAMEA6520866,PRJEB36595,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,590,1.9,27,25,,70,,,UNKNOWN,UNKNOWN,,●,,●,,,,,,1,external illumina for parents,,4.25,"1,264",9.77,"1,050",24.41,578,"C:96.4%[S:95.3%,D:1.1%],F:0.5%,M:3.1%,n:1658",,,Submitted,10.1093/gigascience/giaa088,YY/maternal,"Erebidae,695564"
,1 submitted,11_published,sm15,GRIT-165,iHerIll2,GCA_905115235.1,Hermetia illucens,,,,,black soldier fly,,,,343691,Hermetia,Stratiomyidae,34687,Diptera,Arthropoda,SAMEA6847289,PRJEB37575,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"1,100",2.1,30,112,,52,,2019-04-26,UNKNOWN,UNKNOWN,iHerIll5,●,,●,,,●,,,1,submitted by collaborator; suppress ERR4045374 to not clash,"ERR4045374,ERR4822648,ERR4822649,ERR4822650,ERR4822651,ERR4822656,ERR4822657,ERR4822658,ERR4822659,ERR4822660,ERR4822661,ERR4822662,ERR4822663,ERR4822664",16.01,132,180.36,20,222.12,"1,005","C:98.6%[S:89.4%,D:9.2%],F:0.7%,M:0.7%,n:1658",,,Submitted,10.1093/g3journal/jkab085,,"Stratiomyidae,34687"
,1 submitted,12_public,sm15,GRIT-39,mAcoRus1,GCA_903995435.1,Acomys russatus,,,,,golden spiny mouse,,,,60746,Acomys,Muridae,10066,Rodentia,Chordata,SAMEA104026431,PRJEB39769,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,"2,400",0.4,24,29,,33,,2017-09-25,UNKNOWN,UNKNOWN,,●,,●,,●,,,,3,done,,4.45,"1,518",60.48,645,100.50,"2,299","C:95.6%[S:94.6%,D:1.0%],F:2.0%,M:2.4%,n:4104",,,Submitted,,,"Muridae,10066"
,1 submitted,12_public,sm15,GRIT-127,mOncTor1,GCA_903995425.1,Onychomys torridus,,,,,southern grasshopper mouse,F,,,38674,Onychomys,Cricetidae,337677,Rodentia,Chordata,SAMEA104026389,PRJEB39771,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,"2,700",0.3,28,12,,77,,2018-01-18,UNKNOWN,UNKNOWN,,●,,●,,●,,,,3,done,,2.36,"2,021",119.61,24,190.91,"2,501","C:95.2%[S:94.2%,D:1.0%],F:2.3%,M:2.5%,n:4104",,,Submitted,,,"Cricetidae,337677"
,1 submitted,12_public,sm15,GRIT-118,iHelSar1,GCA_917862395.2,Heliconius sara,,,,,Sara longwing,,,,33443,Heliconius,Nymphalidae,33415,Lepidoptera,Arthropoda,SAMEA8947140,PRJEB46452,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,400,1.7,19,50,,294,,2019-04-18,UNKNOWN,UNKNOWN,iHelSar2,●,,●,,,●,,,2,hic submitted under default biosample,,8.21,515,17.77,399,22.42,349,"C:98.5%[S:98.3%,D:0.2%],F:0.5%,M:1.0%,n:1658",,,Need text from Shane,,,"Nymphalidae,33415"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","
,1 submitted,11_published,sm15,GRIT-45,bAquChr1,GCA_900496995.4,Aquila chrysaetos chrysaetos,,3,,,European golden eagle,F,,,223781,Aquila,Accipitridae,56259,Accipitriformes,Chordata,SAMEA994725,PRJEB33202,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,"1,500",0.3,22,46,,47,,2019-04-04,UNKNOWN,UNKNOWN,bAquChr1,●,,●,,●,●,,,3,done,,21.92,333,46.93,142,88.22,"1,203","C:95.3%[S:94.3%,D:1.0%],F:3.0%,M:1.7%,n:4915",,,Submitted,10.12688/wellcomeopenres.16631.1,,"Accipitridae,56259"
,1 submitted,11_published,sm15,GRIT-205,bEriRub2,GCA_903797595.2,Erithacus rubecula,,,,,European robin,F,,,37610,Erithacus,Muscicapidae,9183,Passeriformes,Chordata,SAMEA4760689,PRJEB38659,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,"1,237",0.8,25,37,,22,,2019-10-11,UNKNOWN,UNKNOWN,bEriRub2,●,,●,,,●,●,,3,done,,5.59,"2,109",46.56,"1,120",112.10,"1,087","C:94.5%[S:93.5%,D:1.0%],F:3.3%,M:2.2%,n:4915",,,Submitted,10.12688/wellcomeopenres.16988.1,,"Muscicapidae,9183"
